id,timestamp,user_screen_name,user_name,retweets,favorites,State,text,polarity
2.15E+17,18/6/2012 18:46,242253993,Ucok,0,0,Johor,RT @iiwibh_gst: Hey malaysia ambil aja ni koruptor2 di indonesia bnyk bgt . iklass kami semua . jgn budaya kmi yg diambil oke? :D :'),Neutral
5.27E+17,6/7/2012 17:05,455746589,Ajim Salvatore,0,1,P. Pinang,Korang tunggu laa nanti. GST akan dilaksanakan pada 1 April 2015. Padan muka rakyat Malaysia kena April fool.,Negative
2.21E+17,6/7/2012 17:05,36746169,Alwi,0,0,Melaka,"Malaysia also got """"GST Voucher""""! But they called it """"Durian Runtuh"""". Haha.",Neutral
2.22E+17,9/7/2012 0:39,26745889,Jenn -wry-,0,0,Johor,Whoa  GST is 16% in Malaysia? :O,Neutral
2.23E+17,11/7/2012 16:40,72542801,Hairil Azwan,0,0,Johor,Why does Malaysia need GST,Negative
2.29E+17,27/7/2012 2:09,62175546,Wisnu Denny Gunawan,0,0,Melaka,@my_supersoccer pengen ke malaysia  pilih gue ya komik gue kmren ya min ><,Neutral
2.29E+17,27/7/2012 5:49,62175546,Wisnu Denny Gunawan,0,0,Melaka,pengen ke malaysia miinnn!!! @my_supersoccer,Neutral
2.41E+17,29/8/2012 23:17,65605505,Don Faiz???,1,0,Johor,Gabungan Dewan Perniagaan dan Industri Cina Malaysia cadang kerajaan kenakan cukai barang dan perkhidmatan (GST) rendah pada empat peratus,Neutral
2.41E+17,29/8/2012 23:41,41752866,Pray4Malaysia,0,0,Johor,Bodoh @bernamadotcom: Gabungan Dewan Perniagaan dan Industri Cina Malaysia cadang kerajaan kenakan cukai (GST) rendah pada empat peratus,Neutral
2.44E+17,7/9/2012 8:46,237223679,pojan,0,0,Johor,Bersediakah rakyat Malaysia dgn kenaikan cukai #GST jika BN menang lagi?,Neutral
2.48E+17,19/9/2012 10:33,3253731,Roslan Tangah,0,0,Johor,[Utusan Terkini] Kastam telah bersedia untuk pelaksanaan GST: TAWAU 19 Sept. - Jabatan Kastam Diraja Malaysia sud...,Neutral
2.48E+17,20/9/2012 2:52,358628142,atikah,0,0,Johor,@gsT__T oh I alrdy meet a fewnsones from Paris too ;) I'm from Malaysia,Neutral
2.49E+17,20/9/2012 20:58,144512064,Nabil Zainal,0,0,Johor,Hoi kerajaan malaysia. Cukai gst pulak ka? Tq !,Negative
2.52E+17,28/9/2012 16:03,497665754,Astro AWANI,1,0,Johor,"Pra Bajet 2013 : Agil Faizal - """"Di Malaysia  seperti satu dosa untuk berbincangkan tentang GST""""",Neutral
2.52E+17,28/9/2012 16:04,25934390,Amin Sahari?��,0,0,Johor,"I don't know why macam satu dosa bincang pasal GST dalam Malaysia."""" - Agil. Kekeke amik kau. #DiskusiKhasBajet2013",Negative
2.52E+17,28/9/2012 21:07,181023603,Benzainal MD.,0,0,Johor,Malaysia xd GST on goods servics bt SST.. WTF is SST? How mny percnt they imposd on us? Dont ever said to thse unemployd ppl didnt pay tax..,Neutral
2.52E+17,30/9/2012 11:30,63616294,Ahmad Fikri,0,0,Johor,Awhhh Mr Bean @Rowan_Atkinson on HBO Malaysia time +8 GST now!,Neutral
2.53E+17,1/10/2012 17:27,851449356,Lee VC,1,0,Johor,Astaga temen gue jual iPhone 5 13 juta. Taee.. Di singapore aja gak sampe 10juta. Bahkan ada GST jadi 9 3juta. Di Malaysia psti lbh murah,Neutral
2.53E+17,2/10/2012 18:40,193685667,izdnjsm,1,0,Johor,Org malaysia mmg hidup kt m'sia utk byaq saman  cukai  gst n etc.. so org atas makin buncit ke depan..,Negative
2.53E+17,3/10/2012 21:11,850008498,junaidimhb,0,0,Johor,#tanyanajib dato bila kita boleh praktikan GST di malaysia.,Positive
2.56E+17,10/10/2012 13:41,57493577,KL Road Block,1,0,Johor,RT @hafidzulhafriz #AES #Roadblock #SpeedTrap #Tax #Gst #IncomeTax #Toll #Oil #Petrol #Sugar #Electric #LYNAS #NuclearPower #Malaysia...,Neutral
2.61E+17,24/10/2012 8:30,570407039,Pn. Cahaya Petunjuk,0,0,Johor,Dimaklumkan bahawa mulai tahun 2012  Kementerian Pelajaran Malaysia (KPM) tidak membuat pelantikan baru GST & GSTT untuk berkhidmat di KPM.,Neutral
2.63E+17,30/10/2012 8:36,250587824,Masyita Hj Ismail,0,0,Johor,@shotcircuits truskan jd bahan politik..kompom nnt xkan pasang sluruh Malaysia..bhaha Malaysia kan camtu? Contoh; GST..hik..hik..hik,Negative
2.68E+17,12/11/2012 14:25,425712355,sukur ibrahim,1,0,Johor,bayar tax  bayar GST  dan bayar saman  ye lah semua tu untuk pembangunan negara! Kata sayang Malaysia sangat!,Negative
2.69E+17,14/11/2012 18:48,44782443,1zharMoslim,0,1,Johor,"Taknak komen ke @anwaribrahim ? """"@tm_insider: Malaysia perlu laksana GST dan perbaharui subsidi  kata ketua IMF""""",Neutral
2.70E+17,18/11/2012 9:01,740779328,Jebat,0,0,Johor,"@BarangNaik: Cukai Baru GST akan dilaksanakan di Malaysia jika Barang Naik memerintah lagi #Fakta"""" semua ditangguh slagi belum pilihanraya.",Negative
2.73E+17,25/11/2012 20:32,375283481,PENGHASUT RAKYAT,1,0,Johor,dan MP UMNO BN melulus Usul Pelaksanaan Cukai GST keatas Rakyat Malaysia,Neutral
2.75E+17,1/12/2012 13:11,273745573,Gusti A,0,0,Johor,RT @dawielscafe: @BandarLampung #BDL Nobar #AFFCup2012 INDONESIA vs MALAYSIA  Sabtu 1 Des jam 19.45 @DawielsCafe  #GARUDADIDADAKU,Neutral
2.75E+17,1/12/2012 22:28,416086348,Beckhrooy,0,0,Johor,@13Mohsein13 Mungkin di Malaysia lebih murah  tpi x byk beza   gst ada,Negative
2.82E+17,20/12/2012 14:45,195577577,Zemanx,0,0,Johor,AES  GST  Tarif Elektrik  Cukai telefon Prabayar harga minyak. Sungguh  PRU13 sangat kritikal buat rakyat Malaysia,Neutral
2.96E+17,29/1/2013 18:47,406153565,Nathaniel,0,0,Johor,"#secondstupidcommentofteday goes to Nivin """"capital of Malaysia is Singapore"""" @Nivin_Jabz smh :(",Neutral
2.97E+17,1/2/2013 4:36,393173776,izzuddin norazman,0,0,Johor,@ASNIDAHANI ooo. .dulu pon ade ura2 malaysia nak buat cmtu . .GST. .Goods Service Tax @ 6%. .,Neutral
3.00E+17,7/2/2013 20:52,378109775,PKR 2010,0,0,Johor,#KempenPRU13 Undilah Pakatan Rakyat agar GST tidak terlaksana sbb ianya akan mebebankan seluruh rakyat Malaysia.,Negative
3.03E+17,18/2/2013 18:48,37395974,oskortos,0,0,Johor,@Norman__G @abamjoni Dia juga sokong GST .... Dengan syaratlah. Btw dia akan masuk golongan Think tank. Kau patut balik Malaysia Man.,Neutral
3.10E+17,9/3/2013 2:34,332288163,Uzair,0,0,Johor,56 dinar semuanya ni sbb GST bahaya kalau Malaysia pun laksanakan cukai natang gst nih,Negative
3.12E+17,13/3/2013 13:06,301266056,Bengki Gustiawan,0,0,Johor,"ikut gak @Defrizal21 ??? RT @ANA_nanoo: Rmh sa kan disini bg  nyusul sini bg bawa si botak """"@bengki_gst: Oke lah  otw malaysia sendirian :D",Neutral
3.17E+17,27/3/2013 10:34,590871849,Salmah Hashim,0,0,Johor,Sdng mnghadiri taklimat GST di Jabatan Kastam Diraja Malaysia  Kelana Jaya @persiapmalaysia @penjaramalaysia,Neutral
3.21E+17,8/4/2013 4:28,332288163,Uzair,0,0,Johor,Aku paling takut kalau lah gst ni laksanakan kat Malaysia kedai tche tche yg bebudak ni makan jdi mahal sbb benda tuh lah,Negative
3.22E+17,11/4/2013 21:08,352334998,PSM Semenyih,3,0,Johor,PSM juga turut memperjuangkan supaya GST tidak laksana di Malaysia,Negative
3.25E+17,18/4/2013 14:45,130886948,Zulaikha,0,0,Johor,Pdehal  tebu kt malaysia ni  brape byk org tanam tebu  bukan import pon tebu.4 kali naik der.pasni GST pulak  kedai runcit cikpong kene tax,Negative
5.70E+17,22/4/2013 0:00,2999506610,izzatiekama,0,2,P. Pinang,Tahniah Kerajaan Malaysia bersungguh-sungguh terang pasal GST. Alangkah baiknya jika syariah Islam diperkenal macam tu terangkan pasal HUDUD,Positive
3.26E+17,22/4/2013 0:00,16995239,khalidkarim,0,0,Melaka,Will we have have GST 1 Malaysia?,Neutral
3.28E+17,27/4/2013 9:23,14887625,MyFriend,0,0,Johor,Penstrukturan semula Income tax band di Malaysia di bawah Pakatan Rakyat. Isu cukai pendapatan dan GST,Neutral
3.29E+17,1/5/2013 11:51,890738910,zhe,0,0,Johor,i only pay gst when i'm in sg okay do not make me feel like this when i'm in malaysia too,Negative
3.30E+17,3/5/2013 0:26,73118504,Little Soldier,0,0,Johor,Tapi di Malaysia saya tak yakin untuk GST..saya tak nak lah rosmah tambah lagi satu cincin..,Negative
3.31E+17,6/5/2013 0:51,262763225,Mohd Shafiqul Azim,0,0,Melaka,Bersedialah rakyat malaysia. AES GST Petrol dan segala jenis cukai akan naik mendadak. Xpe  BR1M 500 tu kan bleh tahan setahun! Lembu,Negative
3.31E+17,6/5/2013 0:53,233532463,Irfan,0,0,Melaka,Tahniah rakyat Malaysia..sbb anda GST terlaksana AES PTPTN adn tnggu harga minya naik..sekian..,Negative
3.31E+17,6/5/2013 1:03,441951179,pitja,1,0,Melaka,@ayienaquas ok pr dah klah.5 tahun lagi pulak! terlepas biasiswa 5k.tq malaysia.jgn lupa kita sm2 akn mmbyr cukai gst nanti.jgn komplain lah,Negative
3.31E+17,6/5/2013 1:07,17421464,amnikhassim,4,0,Melaka,Tahniah rakyat malaysia! Mari kita teruskn hidup.slmt mmbyr aes cukai gst myk yg mhl hrga krta yg mhl. Tahniah! Bangla Nation!!,Negative
3.31E+17,6/5/2013 1:21,51010771,Ahmad Syazwan,0,0,Johor,hai rakyat malaysia.ready for gst,Negative
3.31E+17,6/5/2013 1:23,570096965,Shxnks,0,0,Melaka,Korang dpt BR1M rm1200  KR1M  Produk 1 Malaysia yg lain  Peace  Stability  Progress  BetterNation  Increase of Nation Debt  AES  GST Ad lagi,Negative
3.31E+17,6/5/2013 1:42,150284611,???SHAH???DARWISH ???,1,1,Johor,SELAMAT DATANG AES  GST HARGA MINYAK DAN SEMUA BARANG LAIN. JGN NNTY KITA MAKI2 PLAK. KITA LALUI BERSAMA K RAKYAT MALAYSIA,Negative
3.31E+17,6/5/2013 3:56,319082015,a_guywithsmile,0,0,Johor,Apa ni  x smpai sehari BN menang dh dgr mcm2 tax naik lah apa lah. Takut ni. Topup pun nk kene 6% GST ? Tahniah rakyat malaysia.,Negative
3.31E+17,6/5/2013 4:07,525590347,LuqmanKecix,0,0,Johor,Standby cukai GST wahai rakyat malaysia !!,Negative
3.31E+17,6/5/2013 7:22,148703245,Abdullah Fauzi,3,0,Johor,Malaysia  anda memilih utk bayar tol  ptptn  kereta mahal dan GST. Apa lagi nak dikata? #PRU13,Negative
3.31E+17,6/5/2013 12:38,99992945,zahib,0,0,Johor,Kalau GST buat jugak memang makan pasir la orang Malaysia. Lulzzz,Negative
3.31E+17,6/5/2013 13:10,594801237,Mahasiswa Lapar,0,0,Johor,hmm RAKYAT MALAYSIA BERSEDIALAH UNTUK KENAIKAN HARGA MINYAK GST DAN SEBAGAINYA,Negative
3.31E+17,6/5/2013 18:18,1040228761,Ahmad fadhil,0,0,Johor,Siap2kan duit utk bayar hrga minyak yg akn naik. GST.AES .dan TOL yg tinggi jgn marah ye rakyat MALAYSIA.,Negative
3.32E+17,8/5/2013 1:52,724098240,pazlee,0,0,Melaka,Standard 4percent kan... RT @eifeefie: Malaysia ada GST ke sekarang? Dari semalam lagi aku nengok. Berapa %?,Neutral
3.32E+17,8/5/2013 2:04,243462437,Safwan,1,0,Melaka,"@anasbashari: Welcome to Malaysia GST!"""" Yeayyy  1 #betternation sket",Positive
3.32E+17,8/5/2013 2:22,382512651,abuya,0,0,Johor,Gst sudah jalan. Nak beli barang pom kene buat bajet betol. Aku sayang BN . Kami semua rakyat malaysia orang kaya banyak duit,Negative
3.32E+17,8/5/2013 7:31,857797308,mahaRRi,1,0,Johor,Kejap  Kedai 1 Malaysia takde GST ke ?,Neutral
3.32E+17,9/5/2013 0:17,95638967,Ariff Eye Ahmad ???,7,2,Johor,Macai BN dok sibuk dengan GST Singapore pulak! yg hang sibuk pasai negara orang pasai apa? Singapore tu dlm Malaysia ka?,Negative
3.32E+17,9/5/2013 2:45,751951038,TheSwEeT&Sour,0,0,Johor,Jangan duk buat hairan kalau esok lusa warung tepi jalan pun buat caj Gst. Orang malaysia kaya kot.,Negative
3.32E+17,9/5/2013 6:35,1372563925,Trendinalia Malaysia,0,0,Johor,'GST' shows up at this time as Trending Topic in Malaysia pic.twitter.com/oEbemAFGS3,Neutral
3.32E+17,9/5/2013 6:55,365393958,ayub ansary,0,1,Johor,Terima kasih pengundi2 BN..GST dilaksanakan hidup makin terbeban..terima kasih rakyat Malaysia+warga asing ,Negative
3.33E+17,11/5/2013 9:04,760676239,.,1,0,Johor,Di Malaysia sudah mulai duit GST 6% tax  Hidup BN  Hidup Melayu!,Positive
3.33E+17,11/5/2013 15:14,324708364,Duda Wawa Zainal,0,0,Johor,Goods Service Tax (GST) dah menjadi kenyataan di malaysia..yessssss.!! -.-',Negative
3.33E+17,12/5/2013 11:11,107900063,AzizulOfficial_,0,0,Johor,"Sebelum #PRU13 lagi  #GST sudah ada di Malaysia  tetapi itu adalah """"Govt Service Tax"""" bukannya """"Goods & Service Tax"""". Jangan Runsing.",Neutral
3.33E+17,12/5/2013 16:07,1305089318,Hazieq Rijan,0,0,Johor,Tahniah penyokong tegar BN  GST telah meningkat kepada 6 peratus. Bayar ye jangan tak bayar. Satu malaysia untuk semua. Wahh suka gila aku.,Negative
3.34E+17,12/5/2013 19:32,112778627,Ezzar Irfan Farhan,0,0,Johor,Beli Kfc pakai Kad Diskaun Siswa 1 Malaysia  less 5%.GST 6%-5% = 1% jela.boleh laaa dari takde.haa,Positive
3.34E+17,13/5/2013 15:24,25477877,Faisst Burkle,0,0,Johor,@riepunker kan..confuse sape yg kene gst ni? Makanan melayu ke (-.-) eh ni malaysia ke amerika..hahaha,Negative
3.34E+17,13/5/2013 18:17,789407376,Puan Speka,0,0,Johor,Miskin sgt ke hapa malaysia ni smpai nk GST sgla bagai..!!,Negative
3.34E+17,13/5/2013 23:29,28279197,Luke Hakim K,0,0,Johor,belum GST lagi. RT @farizbkr HP Envy H8 ni $500 je  masuk Malaysia je RM4400. Kepala hotak dia!,Negative
3.34E+17,14/5/2013 7:19,111666052,HM,0,0,Johor,Perlukah GST dilaksanakan di dalam Malaysia? Apakah Revenue/ KDNK Negara tidak mencukupi?,Neutral
3.35E+17,16/5/2013 2:25,962311056,KadangKadang,0,0,Johor,Dato seri @NajibRazak mohon pencerahan berkenaan kenaikan peratus GST.sy seorang rakyat yg gaji cukup2 mkan #Malaysia#kuala_lumpur,Negative
3.36E+17,20/5/2013 1:55,67401556,K H A I R U L,0,1,Johor,Tesco ni pon satu buat org keliru. Pergi tulis GST apehal? Tulis lah SST. Tak tahu org Malaysia ni jenis suka nk bash orang.,Negative
3.37E+17,22/5/2013 3:25,301266056,Bengki Gustiawan,0,0,Johor,"Aktifkan Bluetooth RT @RanggaaaDP: Kirim bang RT @bengki_gst: Hanya lagu Malaysia menemani pagi ini  Yelse - Penuh Kepalsuan""""",Neutral
3.37E+17,22/5/2013 3:27,558375334,W Mhd Affandy,0,0,Johor,Kalau aden lalok d sinan  psti copek lalok nyo ?�� RT @bengki_gst: Hanya lagu Malaysia menemani pagi ini  Yelse - Penuh Kepalsuan,Neutral
3.38E+17,24/5/2013 15:23,32334045,Wan Khairil Reza,0,0,Johor,@amancs Struktur cukai pendapatan akan dikurangkan. Take home cash lebih. Cukai bergantung pada perbelanjaan. GST sesuai utk Malaysia,Positive
6.74E+17,24/5/2013 22:42,2237927023,ad???n,0,0,P. Pinang,Kahwin dengan orang Johor nie banyak manfaat nya. Contoh  GST terhapus dengan JOHOR nak keluar Malaysia kahkahkahkah,Negative
3.38E+17,24/5/2013 22:42,869444814,Mohd.arif bin Idris,0,0,Johor,Politik - Sinar Harian GST boleh menambahkan Pendapatan Negara dengan kadar 7% jika dilaksanakan oleh Malaysia kini,Neutral
3.38E+17,25/5/2013 0:42,121337606,Pru14,1,0,Johor,Sebnyk 800 kamera #Aes akan dipasang seluruh malaysia 700 juta hasil tahunan saman #AES + 27 bil utk 7% #GST @anwaribrahim,Neutral
3.39E+17,27/5/2013 21:59,1178896489,Kedahan | Admin Mode,2,2,Johor,GST ni kalau dilaksana kat Malaysia  kadar cukai pndptn individu / perniagaan akan diturunkan. Tapi  cukai akan dikenakan kat barang pulak.,Neutral
3.39E+17,27/5/2013 22:04,102004655,Zairul Ashriq,0,0,Johor,@Pemorex_Tegar malaysia ni kalau bn pegang aman gila . Kita pon kaya bg sedekah gst kan kan kan .,Negative
3.39E+17,27/5/2013 22:14,126509459,Abd Hafiz Abd Rahim,0,0,Johor,GST akan beban setiap seorang rakyat Malaysia sekurang-kurangnya RM1000 setahun.GST bantu orang kaya bebankan rakyat miskin!@anwaribrahim,Negative
3.39E+17,27/5/2013 23:02,361040835,Haikal Shafie,0,0,Johor,GST belum dilaksanakan di Malaysia. Ianya baru dibentangkan untuk bacaan kedua di parlimen. Membacalah dan jangan mudah dikelirukan.,Neutral
3.39E+17,28/5/2013 5:13,371955778,Ron,0,0,Johor,@CFAinstitute GST malaysia kenapa naik?,Negative
3.40E+17,30/5/2013 6:00,16796452,mustapha ong,0,0,Johor,?��@tunfaisal: Bagi yang tak berapa faham GST dan kenapa DAP tak suka GST - Economics Malaysia: GST And Inflation:DAP kiasu  kiasu n kiabo!,Neutral
3.40E+17,30/5/2013 8:57,1080018163,John Erfan,0,0,Johor,Hari2 kene troll oleh kerajaan Malaysia. Pagi bangun makan ada gst  isi minyak mahal  tol. Keje lebih had. Balik letih. Cukup bln byr htg.,Negative
3.41E+17,3/6/2013 2:04,866509855,N.F,0,0,Johor,Cukai GST diLAKSANAkan Harga rokok diNAIKkan I LOVE BN MUAHHHHHH MUAHHHH Siapa tak suka boleh keluar Malaysia lah !!,Negative
3.41E+17,3/6/2013 11:39,562760800,syahmie,0,0,Johor,Dunhill naik 30sen..sistem cuakai GST bakal dilaksana..trima kasih PM Malaysia..xsmpai sebulan memerintah..TAHNIAH..1 CIMB..,Negative
3.42E+17,4/6/2013 12:42,738200605,naimdgaf,0,0,Johor,Saya sbg rakyat malaysia bangga mempunyai kerajaan spt BARISAN NASIONAL . Harga brg naik   cukai GST lg . Mmg tak rugi lah kalau undi NAJIB,Negative
3.43E+17,7/6/2013 22:34,1017832880,iskandar yunus,0,0,Johor,tahniah.malaysia bakal menaikkan kadar GST dlm negara kepada sekurg2 nya 7%.,Negative
3.44E+17,10/6/2013 17:02,394611129,syakiryusof,0,0,Melaka,next year dpt voucher buku 1 Malaysia . tapi skali tiba2 naik GST . hahaha lentoi,Negative
3.45E+17,14/6/2013 12:35,299759548,Marcia B Moulon,1,0,Johor,Luncheon talk re Understanding the Goods & Sales Tax (#GST) in #Malaysia @EUMCCI,Neutral
3.46E+17,15/6/2013 15:15,346066951,Zlatan Paehovic,1,0,Johor,Kisah pulak aku tambang tiket bas naik  GST dilaksanakan  harga rokok naik.. Janji malaysia aman.. Kan? Sayangi Malaysia  yakni BN,Positive
3.47E+17,19/6/2013 0:22,89152726,Jemi,7,2,Johor,BN nak pegang negara ni lagi 5tahun. Baru tk sampai 5bulan menang harga tiket bas naik  rokok naik. GST lagi. Tahniah rakyat Malaysia!,Negative
3.47E+17,19/6/2013 7:48,929111322,Jainin,2,0,Johor,Pakar: GST sudah sesuai dilaksana #malaysia #JP02,Positive
3.47E+17,19/6/2013 8:07,274147791,Azwan Jake Official,0,0,Johor,Pengurangan GST mungkin dapat membantu membesarkan pendapatan rakyat Malaysia.,Positive
3.47E+17,19/6/2013 16:17,301501042,Mohd Wafiyuddin,0,0,Johor,Kat Malaysia tambang bas naik 30% nak wat TPPA GST rakyat rileks jer. Bersyukur la katekan..puihh,Negative
3.49E+17,24/6/2013 13:59,474074756,mohd nasir,0,0,Johor,@AimiAmalinaa tax naik GST naik rokok naik brg runcit naik tiket bas pon nak naik?? Tp rileks arr syukur malaysia masih aman hahahaha.,Negative
3.49E+17,25/6/2013 0:01,1037125986,Arief Othman,0,0,Johor,hakikatnya GST sangat bgus dilaksanakan  cuma Malaysia belum sesuai. tmbahan pr sedang cr aj salah kerajaan..haha,Neutral
3.50E+17,27/6/2013 11:03,1538091590,Parlimen Malaysia,1,0,Johor,YB Menteri Kewangan II menyatakan bahawa sebanyak 161 negara telah melaksanakan GST #ParlimenMalaysia #MalaysianParliament #Malaysia,Neutral
3.50E+17,27/6/2013 11:11,1538091590,Parlimen Malaysia,1,0,Johor,YB Jasin menyatakan ramai masih tidak faham apa itu GST yang sebenarnya #ParlimenMalaysia #MalaysianParliament #Malaysia,Negative
3.50E+17,27/6/2013 13:05,408362936,Ravindran,0,0,Melaka,GST in Malaysia ??,Neutral
3.51E+17,28/6/2013 22:14,263073374,i Abbas Norizan,0,0,Johor,@BangsaUMNO kami rakyat bawahan merasai gst hasil mereka... malaysia sangat hahaa,Negative
3.51E+17,29/6/2013 20:17,186110211,wangore,0,0,Johor,Rokok dalam list gst sebab tu halal dkat malaysia shisha dngan vapor mana ada tu yg haram pelik aku dngan kerajaan neh =.=,Negative
3.51E+17,29/6/2013 20:44,1030428002,Fast News Official,1,0,Melaka,World Hockey League: Pakistan or Malaysia Ka Match 4-4 Goals Se Barabar * Petrol Pumps Ka 17% #GST Ki Wusooli Shuru Jis K Baad Petrol Mehnga,Neutral
3.51E+17,29/6/2013 22:41,606004211,mna saim,0,0,Johor,World Hockey League:Pakistan or Malaysia Ka Match 4-4 Goals Se Barabar 2.Petrol Pumps Ka 17% GST Ki Wusooli Shuru Jis K Baad Petrol Mehnga,Neutral
3.54E+17,8/7/2013 12:10,15567575,Uzaidi Udanis,4,0,Melaka,160 negara dah guna GST sistem percukaian . Di Asean   hanya Brunei   Myanmar dan Malaysia aje belum. Siapa next ? #gst #mita,Neutral
3.55E+17,10/7/2013 17:32,716917242,Bauk Selat�,2,0,Melaka,Kutipan cukai lebih cekap dengan GST - Biz Malaysia  @tv1_rtm,Positive
3.57E+17,15/7/2013 21:26,985948315,Syed,0,0,Johor,Seminar pelaksanaan cukai barangan dan perkhidmatan (GST) bersama pegawai kastam di raja malaysia (KDRM) ..,Neutral
3.58E+17,18/7/2013 23:29,144235739,.,1,0,Johor,GST bakal dilaksana  TPPA nampak gaya macam kita nak kena  Ayam dah naik  Letrik bakal naik  Syukur Malaysia masih Aman? Terpulanglah,Negative
3.69E+17,18/8/2013 5:14,636233658,Haziq Ikhsan,0,0,Johor,Pengenalan GST yg masih dlm perancangan seolah2 mengiyakan dakwaan bahawa ekonomi malaysia mulai mengalami defisit.,Neutral
3.69E+17,18/8/2013 21:48,139646282,Chew Lin,0,0,Johor,@noself (GST in Malaysia  ahem ahem),Negative
3.71E+17,23/8/2013 22:07,425274007,RimzA,0,0,Johor,Umno terus mara utk rkyt malaysia.... Hidup AES GST CUKAI..! Hahahahah,Negative
3.71E+17,24/8/2013 20:55,450345477,Hafiz Bakhtiar,1,0,Johor,@affe_udeen GST tuh untuk rolling balik untuk KDNK negara camtuh baru Malaysia boleh maju...,Positive
3.72E+17,27/8/2013 15:04,361331868,Ahmad Maaroff,0,0,Johor,Complex betei Malaysia Taxation. Karang ada GST tambah lg kerja nak kena belajar,Negative
3.73E+17,29/8/2013 16:41,237223679,pojan,0,0,Johor,"Yang penting Malaysia masih aman """"@bernamadotcom: Kerajaan berusaha memasukan GST dalam Belanjawan 2014: Ketua Setiausaha Perbendaharaan""""",Negative
